health_type,health_type_name,color,n,bmi_mean,sbp_mean,dbp_mean,fbg_mean,waist_mean,smoking_current_rate,drinking_rate,metabolic_risk_mean
basic,기본관리형,#2ECC71,81996,21.01,111.78,67.48,88.92,72.39,0.0,0.0,0.0
blood_pressure,혈압관리형,#E74C3C,248769,22.84,133.19,82.58,99.56,78.64,0.19,0.63,1.55
blood_sugar,혈당관리형,#E67E22,135400,22.96,114.86,69.48,114.75,78.84,0.19,0.63,1.28
lifestyle,생활습관관리형,#9B59B6,191228,21.24,111.16,67.83,88.85,73.14,0.18,0.97,0.0
metabolic,대사복합관리형,#C0392B,239626,28.62,132.37,81.61,112.93,93.48,0.23,0.67,3.36
weight,체중관리형,#F39C12,102758,27.11,115.63,70.03,90.45,87.4,0.19,0.68,1.41
